t,log_t,vth_average
6.203854594147708e-25,-20.72326583694641,0.914897017
6.182294109938504e-11,-20.663278650154982,0.9149028050780997
1.274679582449475e-10,-20.603291463363554,0.9149201261230626
1.9717134341896807e-10,-20.543304276572126,0.9149489153508847
2.711839968690297e-10,-20.483317089780698,0.9149891079775616
3.497723302339438e-10,-20.42332990298927,0.9150406392190894
4.332192255035758e-10,-20.36334271619784,0.9151034442914637
5.218250532643886e-10,-20.303355529406414,0.9151774584106808
6.159087538959204e-10,-20.243368342614986,0.9152626167927361
7.158089856100074e-10,-20.183381155823557,0.9153588546536255
8.218853434651695e-10,-20.12339396903213,0.9154661072093452
9.345196537440485e-10,-20.0634067822407,0.9155843096758907
1.054117348353068e-09,-20.003419595449273,0.9157133972692579
1.1811089241915233e-09,-19.943432408657845,0.9158533052054428
1.3159514927431578e-09,-19.883445221866417,0.9160039687004411
1.4591304254680581e-09,-19.823458035074985,0.9161653229702489
1.6111611009174738e-09,-19.763470848283557,0.9163373032308617
1.7725907598604983e-09,-19.70348366149213,0.9165198446982756
1.9440004751000513e-09,-19.6434964747007,0.9167128825884865
2.1260072430687213e-09,-19.583509287909273,0.9169163521174899
2.319266204733208e-09,-19.523522101117845,0.9171301885012821
2.5244730038016065e-09,-19.463534914326416,0.9173543269558587
2.742366290722004e-09,-19.40354772753499,0.9175887026972156
2.9737303814856315e-09,-19.34356054074356,0.9178332509413486
3.2193980808050523e-09,-19.283573353952132,0.9180879069042536
3.4802536798295186e-09,-19.223586167160704,0.9183526058019265
3.757236139187918e-09,-19.163598980369276,0.918627282850363
4.051342468816796e-09,-19.103611793577848,0.9189118732655592
4.363631316739275e-09,-19.04362460678642,0.9192063122635108
4.6952267797128615e-09,-18.98363741999499,0.9195105350602135
5.0473224494626865e-09,-18.923650233203563,0.9198244768716636
5.4211857090648025e-09,-18.863663046412135,0.9201480729138565
5.818162294944525e-09,-18.803675859620707,0.9204812584027882
6.239681140910924e-09,-18.74368867282928,0.9208239685544547
6.687259521663784e-09,-18.68370148603785,0.9211761385848515
7.162508514287286e-09,-18.623714299246423,0.9215377037099748
7.66713879738929e-09,-18.563727112454995,0.9219085991458205
8.202966808760478e-09,-18.503739925663567,0.9222887601083841
8.771921283718067e-09,-18.44375273887214,0.9226781218136617
9.376050197669189e-09,-18.38376555208071,0.9230766194776491
1.0017528137883948e-08,-18.323778365289282,0.923484188316342
1.0698664131013158e-08,-18.263791178497854,0.9239007635457366
1.1421909954526309e-08,-18.203803991706422,0.9243262803818284
1.2189868961986797e-08,-18.143816804914998,0.9247606740406136
1.3005305453932356e-08,-18.083829618123566,0.9252038797380876
1.3871154628089702e-08,-18.023842431332138,0.9256558326902466
1.4790533144741931e-08,-17.96385524454071,0.9261164681130865
1.576675034527719e-08,-17.903868057749282,0.9265857212226029
1.6803320164301344e-08,-17.843880870957854,0.9270635272347918
1.7903973778192426e-08,-17.783893684166426,0.9275498213656489
1.9072673035625924e-08,-17.723906497374998,0.9280445388311702
2.0313624718414626e-08,-17.66391931058357,0.9285476148473517
2.1631295683995558e-08,-17.60393212379214,0.929058984630189
2.3030428944069967e-08,-17.543944937000713,0.9295785833956779
2.4516060737272147e-08,-17.483957750209285,0.9301063463598145
2.6093538657320838e-08,-17.423970563417857,0.9306422087385945
2.7768540901906277e-08,-17.36398337662643,0.9311861057480137
2.9547096711600056e-08,-17.303996189835,0.9317379726040682
3.14356080723585e-08,-17.244009003043573,0.9322977445227535
3.344087275973864e-08,-17.184021816252145,0.9328653567200658
3.5570108807775354e-08,-17.124034629460716,0.9334407444120008
3.783098049059653e-08,-17.06404744266929,0.9340238428145543
